 cookie=0x0, duration=5.301s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.50.0.9,nw_tos=0,tp_src=56418,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.298s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.10.0.27,nw_tos=0,tp_src=44994,tp_dst=80 actions=output:50
 cookie=0x0, duration=4.837s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=52:d9:23:9c:af:d4,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.1,nw_dst=10.60.0.28,nw_tos=0,tp_src=52639,tp_dst=80 actions=output:49
 cookie=0x0, duration=4.765s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=7,vlan_tci=0x0000/0x1fff,dl_src=1e:a0:45:70:4d:ec,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.7,nw_dst=10.20.0.41,nw_tos=0,tp_src=46374,tp_dst=80 actions=output:49
 cookie=0x0, duration=4.695s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=14,vlan_tci=0x0000/0x1fff,dl_src=0a:7c:f7:7c:48:ad,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.14,nw_dst=10.60.0.46,nw_tos=0,tp_src=46780,tp_dst=80 actions=output:50
 cookie=0x0, duration=4.645s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=15,vlan_tci=0x0000/0x1fff,dl_src=d2:cb:88:84:13:7f,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.15,nw_dst=10.60.0.17,nw_tos=0,tp_src=51548,tp_dst=80 actions=output:50
 cookie=0x0, duration=4.474s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=38,vlan_tci=0x0000/0x1fff,dl_src=96:c9:bf:52:4e:df,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.38,nw_dst=10.60.0.38,nw_tos=0,tp_src=56120,tp_dst=80 actions=output:51
 cookie=0x0, duration=4.397s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=6e:f0:f1:4d:6a:5d,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.12,nw_dst=10.10.0.18,nw_tos=0,tp_src=35442,tp_dst=80 actions=output:50
 cookie=0x0, duration=4.365s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=35,vlan_tci=0x0000/0x1fff,dl_src=aa:c6:c4:51:27:60,dl_dst=02:a2:78:3b:86:af,nw_src=10.50.0.35,nw_dst=10.50.0.39,nw_tos=0,tp_src=44082,tp_dst=80 actions=output:39
 cookie=0x0, duration=4.359s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=35,vlan_tci=0x0000/0x1fff,dl_src=aa:c6:c4:51:27:60,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.35,nw_dst=10.20.0.45,nw_tos=0,tp_src=59816,tp_dst=80 actions=output:51
 cookie=0x0, duration=4.283s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.10.0.20,nw_tos=0,tp_src=58911,tp_dst=80 actions=output:50
 cookie=0x0, duration=4.283s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=44,vlan_tci=0x0000/0x1fff,dl_src=36:c7:cb:02:f8:fc,dl_dst=06:6b:d7:0f:d3:be,nw_src=10.60.0.44,nw_dst=10.50.0.44,nw_tos=0,tp_src=37264,tp_dst=80 actions=output:52
